State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",RapeRevised,RapeLegacy,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle theft",Arson
AL,Autauga,73,1,12,,8,52,429,146,233,50,
AL,Baldwin,127,1,5,,23,98,613,229,342,42,
AL,Bibb,0,0,0,,0,0,37,20,14,3,
AL,Blount,394,1,17,,9,367,867,261,501,105,
AL,Calhoun,23,0,7,,5,11,319,137,181,1,
AL,Chilton,151,0,10,,3,138,592,247,295,50,
AL,Elmore,88,4,22,,7,55,677,223,408,46,
AL,Etowah,135,1,20,,7,107,480,149,255,76,
AL,Geneva,46,1,9,,2,34,205,71,106,28,
AL,Hale,33,0,2,,2,29,139,73,55,11,
AL,Henry,13,0,1,,1,11,86,34,44,8,
AL,Houston,114,4,18,,7,85,616,179,395,42,
AL,Jefferson,693,5,48,,173,467,"2,659","1,589",919,151,31
AL,Lauderdale,30,1,2,,0,27,285,54,190,41,
AL,Lawrence,70,0,7,,6,57,326,105,189,32,
AL,Lee,443,10,21,,18,394,"1,296",389,807,100,
AL,Limestone,120,0,29,,9,82,829,202,565,62,
AL,Lowndes,51,2,5,,9,35,224,96,108,20,
AL,Madison,341,2,44,,39,256,"2,257",576,"1,474",207,
AL,Mobile,151,9,13,,26,103,"2,149",612,"1,299",238,
AL,Montgomery,117,1,4,,8,104,360,121,198,41,
AL,Morgan,71,0,10,,2,59,373,192,165,16,
AL,Russell,66,2,20,,5,39,372,124,206,42,
AL,Shelby,111,3,25,,8,75,886,251,537,98,
AL,St. Clair,236,0,20,,4,212,541,214,303,24,
AL,Tuscaloosa,185,1,6,,22,156,"1,234",387,726,121,
AL,Walker,121,2,18,,10,91,908,262,526,120,
AL,Barbour,32,0,4,,2,26,124,50,65,9,
AL,Butler,51,2,3,,6,40,140,47,87,6,
AL,Chambers,1,0,0,,0,1,89,36,53,0,
AL,Cherokee,72,2,9,,4,57,387,147,192,48,
AL,Clarke,54,3,5,,2,44,105,47,47,11,
AL,Clay,2,0,0,,0,2,38,9,27,2,
AL,Cleburne,7,0,1,,0,6,145,40,96,9,
AL,Coffee,28,0,6,,0,22,153,68,73,12,
AL,Coosa,23,0,1,,1,21,174,54,102,18,
AL,Covington,19,0,3,,1,15,151,52,84,15,
AL,Cullman,58,2,24,,1,31,910,245,574,91,
AL,Dale,38,1,12,,1,24,248,64,161,23,
AL,Dallas,76,1,8,,4,63,428,173,229,26,
AL,DeKalb,162,2,18,,2,140,736,225,403,108,
AL,Escambia,3,0,0,,0,3,36,10,20,6,
AL,Franklin,45,1,5,,4,35,300,85,182,33,
AL,Greene,42,0,0,,5,37,126,71,49,6,
AL,Marengo,35,1,1,,4,29,183,72,105,6,
AL,Marion,31,3,3,,0,25,217,91,115,11,
AL,Marshall,45,1,9,,1,34,454,189,227,38,
AL,Monroe,41,1,0,,3,37,116,51,62,3,
AL,Pike,21,1,0,,2,18,100,27,69,4,
AL,Talladega,120,2,9,,12,97,708,210,430,68,
AL,Tallapoosa,25,1,3,,0,21,131,56,68,7,
AL,Washington,42,2,4,,1,35,137,44,65,28,
AL,Wilcox,52,2,2,,1,47,137,64,59,14,
AZ,Cochise,212,2,10,,4,196,606,89,458,59,0
AZ,Coconino,99,3,15,,4,77,419,113,288,18,20
AZ,Maricopa,"1,146",22,100,,110,914,"5,365","1,250","3,455",660,77
AZ,Pima,652,18,77,,172,385,"8,936","1,674","6,660",602,69
AZ,Pinal,263,4,44,,13,202,"1,640",442,987,211,10
AZ,Yavapai,226,4,22,,9,191,"1,028",280,653,95,12
AZ,Yuma,131,6,20,,6,99,"1,004",387,535,82,5
AZ,Graham,5,0,1,,0,4,129,30,95,4,13
AZ,Greenlee,0,0,0,,0,0,60,30,16,14,0
AZ,La Paz,38,3,2,,3,30,407,155,222,30,0
AZ,Navajo,73,6,8,,4,55,409,159,214,36,6
AR,Benton,95,2,26,,2,65,663,328,300,35,3
AR,Cleveland,10,0,2,,1,7,71,30,38,3,2
AR,Craighead,46,1,17,,0,28,343,102,205,36,6
AR,Crawford,89,2,14,,0,73,422,99,268,55,0
AR,Crittenden,128,7,8,,20,93,338,129,180,29,2
AR,Faulkner,122,1,27,,3,91,"1,040",285,609,146,10
AR,Garland,357,0,47,,20,290,"1,723",831,763,129,0
AR,Grant,47,0,4,,0,43,206,65,123,18,0
AR,Jefferson,82,1,13,,6,62,405,159,200,46,6
AR,Lincoln,16,0,1,,0,15,76,29,38,9,0
AR,Little River,11,0,3,,0,8,71,27,36,8,0
AR,Lonoke,104,1,13,,8,82,456,87,274,95,2
AR,Madison,22,0,4,,1,17,73,35,32,6,2
AR,Miller,27,1,11,,1,14,315,118,159,38,0
AR,Perry,46,0,2,,1,43,150,36,114,0,0
AR,Poinsett,6,0,4,,0,2,1,1,0,0,0
AR,Pulaski,375,5,24,,27,319,"1,831",411,"1,190",230,9
AR,Saline,158,2,28,,4,124,837,255,467,115,6
AR,Sebastian,62,0,15,,2,45,313,104,190,19,5
