FIPS,State,County,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1017,PctEmpChange1617,PctEmpChange0717,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumEmployed2008,NumCivLaborForce2011,UnempRate2011,NumUnemployed2010,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,NumCivLaborForce2008,NumUnemployed2008,NumEmployed2011,UnempRate2009,UnempRate2008,NumCivLaborforce2014,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2015,NumUnemployed2015,NumCivLaborforce2007,NumEmployed2014,NumUnemployed2011,UnempRate2013,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumEmployed2007,NumUnemployed2012,NumEmployed2012,UnempRate2012,NumCivLaborForce2012,NumUnemployed2014
0,US,United States,,,,,,,,,,,1.32630636,0.595097371,6.254428423,10.34879579,14.20343558,5.007578783,2.116087798,6.575352575,48.85847577,4.714441545,148001326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,AL,Alabama,4.4,5.9,6.1,6.8,10.5,4,5.53,1.34,-0.77,-5.96,1.12785103,0.475165583,6.412311309,14.04081733,14.54389638,5.291659015,1.693319132,5.588080459,45.26026861,5.566631163,2042025,2053477,2202670,9.6,231483,1964559,2196042,238252,1924747,2162999,2176489,123012,1990413,11,5.7,2161618,95338,2073106,2168444,127551,2045624,2173175,2157376,2025949,131427,2175612,2015087,212257,7.2,156957,2017043,2174000,86485,2089127,173047,2003290,8,2176337,146531
1001,AL,Autauga,3.9,5.1,5.2,5.8,8.9,3.3,6.3,1.28,5.65,-0.62,0.647102465,0.56466903,4.809990932,13.99719726,13.48198829,6.648256533,1.792927211,5.452971725,40.6767785,11.92811804,24262,23420,25836,8.4,2282,23431,25713,2402,22301,24703,24687,1267,23677,9.7,5.1,25602,1001,24908,25909,1325,24593,25918,25602,24272,1330,24383,24107,2159,6.2,1605,24205,25810,806,23577,1779,23961,6.9,25740,1495
1003,AL,Baldwin,4,5.4,5.5,6.1,10,3.1,17.03,2.64,9.76,-6.22,0.943557485,0.501407359,7.722812895,9.237291033,18.04724625,4.894419564,1.389126298,6.901188563,45.60755758,4.755392978,87753,79372,85045,9,8339,75120,83459,8048,74403,82451,83223,3851,77418,9.8,4.6,86415,3652,87915,91567,4844,85656,90500,87705,82843,4862,82659,81115,7627,6.6,5654,79626,85280,2560,80099,6349,78065,7.5,84414,5300
1005,AL,Barbour,5.9,8.4,8.9,10.5,12.3,6.3,-13.49,0.65,-19.97,-7.49,4.358945847,0.166796397,6.304903814,22.40631602,14.444568,6.449460692,0.57822751,3.358167464,34.77148894,7.16112532,8993,9267,9849,11.5,1262,8959,10221,1431,8572,10003,10161,894,8712,14.3,8.8,8848,486,7750,8236,702,7700,8402,8609,7844,765,10334,7916,1137,10.2,931,8168,9099,650,9684,1079,8283,11.5,9362,932
1007,AL,Bibb,4.4,6.5,6.6,7.2,11.4,4.1,2.77,1.03,-3.55,-6.14,0.586545367,3.327747187,8.16375389,21.13957386,11.70696672,6.655494374,0.311228154,4.249461336,39.44218339,4.417045727,8354,8241,8933,10.5,1020,7914,8934,1161,7581,8742,8749,508,7996,13.3,5.8,8562,373,8133,8506,557,8050,8607,8572,8005,567,8791,7945,937,7.9,689,8016,8705,359,8432,751,8047,8.5,8798,617
1009,AL,Blount,4,5.4,5.4,6.1,9.8,3.2,4.67,1.12,-8.81,-12.88,2.195155838,0.680776177,9.521604224,15.5698606,14.94002686,7.511693604,1.102209049,4.788588895,38.24850646,5.441578289,21593,25453,25123,8.7,2446,22460,24906,2648,23832,26480,26698,1245,22939,10,4.7,24535,985,23509,24494,1328,23248,24576,24473,23152,1321,26629,23032,2184,6.3,1562,23325,24887,849,25780,1716,23244,6.9,24960,1503
1011,AL,Bullock,4.9,6.9,7.9,8.8,11.8,9.4,5.03,1.83,38.3,31.68,12.7455678,0,4.504072832,25.80258745,11.37997125,3.689506469,0.359367513,2.419741255,30.97747964,8.121705798,4174,3251,4833,11.6,585,4356,4941,583,3156,3739,3634,383,4272,15.6,10.5,4733,237,4575,4812,331,4493,4824,4777,4398,379,3653,4315,561,9.4,447,4331,4778,345,3308,491,4245,10.4,4736,418
1013,AL,Butler,5.5,6.9,7.6,8.5,13.6,6.2,5.71,-1.15,-0.98,-6.34,3.495518566,0.230473752,7.451984635,20.56338028,12.94494238,5.492957746,1.370038412,3.213828425,40.0128041,5.224071703,7810,8278,9188,12.5,1263,7998,9261,1489,7615,9104,9051,773,8042,16.4,8.5,9272,491,8455,8946,637,8553,9190,9134,8440,694,9099,8480,1146,10.3,941,8206,9147,560,8539,1049,8039,11.5,9088,792
1015,AL,Calhoun,4.9,6.6,7,8,11.4,3.9,-5.18,1.21,-17.79,-13.3,0.952988726,0.099978728,5.826419911,16.8602425,14.6947458,4.784088492,1.457136779,4.10976388,43.29078919,7.92384599,47010,51468,51268,10.3,5860,45699,51559,5996,47929,53925,54564,3096,45963,11.1,5.7,47257,2249,43333,45582,3003,42815,45818,45910,42679,3231,54861,43484,5305,8.8,4242,44163,48405,2152,52709,4397,45252,8.9,49649,3773
1017,AL,Chambers,4.1,5.5,6.1,6.7,14.9,6.5,15.96,2.82,0.61,-13.24,1.404033925,0.128287364,4.63972632,27.10426912,15.27332336,3.235692395,2.052597819,3.919891668,38.73565676,3.506521274,14031,12848,15200,12,2200,12554,14754,2873,11777,14650,15012,2164,13380,19.6,14.4,15307,619,14557,15176,820,14158,14978,14975,14069,906,15474,14282,1820,8,1217,14058,15275,1005,14469,1494,13646,9.9,15140,1025
1019,AL,Cherokee,4.1,5.1,5.5,5.8,10.6,4.2,4.65,-0.33,-6.64,-10.79,1.962130874,0,7.465907976,22.63317963,11.92975571,6.514274502,0.94182282,2.295693123,39.67428627,6.582949083,10193,11308,11476,9.7,1219,10245,11464,1374,10384,11758,11996,688,10364,11.7,5.7,11390,453,10721,11174,575,10757,11332,11158,10549,609,11984,10729,1112,6.6,754,10649,11403,500,11484,905,10363,8,11268,661
1021,AL,Chilton,4,5.5,5.6,6.3,10.3,3.4,5.04,1.19,-3.79,-8.41,2.479151302,0.516253475,12.69643161,13.42259034,15.42519998,7.806206388,0.930390878,5.718500028,34.81590741,6.189368582,17627,18618,19539,9.1,1998,17464,19462,2070,17375,19445,19610,992,17753,10.6,5.1,19102,774,18344,19118,1055,18128,19183,19133,18054,1079,19737,17906,1786,6.6,1269,18090,19359,670,19067,1401,17982,7.2,19383,1196
1023,AL,Choctaw,6.4,8.5,9.1,9,13.3,5.9,-3.72,2.55,-16.74,-13.52,5.58685446,2.723004695,8.521126761,19.53051643,13.63849765,5.962441315,1.901408451,2.582159624,37.34741784,2.20657277,4260,4646,4764,13.1,644,4216,4860,692,4442,5134,5069,423,4138,13.5,8.3,4495,277,4059,4336,369,3958,4327,4378,3980,398,5183,4090,626,9.2,433,4270,4703,308,4875,494,4297,10.3,4791,405
1025,AL,Clarke,8.5,10.9,11.7,12.2,19.9,6.1,-3.22,-0.31,-27.39,-24.97,2.929280549,0.980512318,5.968868734,21.88993749,16.61968378,7.219021939,1.593332516,3.934305675,34.13408506,4.730971933,8159,9419,8843,18.8,1808,7300,9108,1717,8664,10381,10351,932,7181,16.5,9,8157,655,7065,7720,866,7087,7953,7992,7054,938,10358,7164,1662,13.8,1140,7145,8285,628,9730,1258,7116,15,8374,993
1027,AL,Clay,4.4,6,6.1,7.1,14.5,5.5,9.31,3.44,-5.26,-13.33,4.442413163,0.12797075,6.087751371,34.16819013,10.78610603,4.095063985,1.334552102,4.552102377,29.10420475,5.301645338,5470,5279,5598,11.8,846,5005,5851,940,4703,5643,5733,454,4935,16.7,7.9,5513,250,5471,5721,335,5289,5624,5548,5208,340,6113,5119,663,8.3,450,4943,5393,338,5775,508,4905,9.4,5413,394
1029,AL,Cleburne,4.5,6,6,6.6,10,3.7,1.05,0.88,-12.17,-13.08,5.340889576,0.223252619,12.19302765,18.51279409,16.00549545,6.422806114,0.360638846,3.297269449,33.14442727,4.499398935,5823,6225,5939,9.7,604,5429,6033,663,5851,6514,6557,332,5365,10.2,5.1,5855,256,5486,5742,347,5438,5785,5677,5335,342,6483,5469,574,7.7,447,5383,5830,237,6246,480,5358,8.2,5838,386
1031,AL,Coffee,4.4,5.9,6,6.6,8.6,3.8,2.56,1.97,-2.52,-4.95,2.519552288,0.36528825,4.90797546,12.62586053,15.3140074,6.757832623,1.2176275,3.601367489,43.49740083,9.193087622,21353,19897,20749,8.1,1817,19271,21088,1824,19612,21436,20911,1014,19059,8.5,4.8,20235,907,19764,20671,1211,19382,20593,20269,19062,1207,21077,18892,1690,6.9,1411,19105,20516,802,20275,1453,19159,7,20612,1343
1033,AL,Colbert,5.2,7,7.9,8.3,11.5,4.6,2.03,0.33,-9.61,-11.41,0.584874864,0.312840044,6.093579978,18.49836779,15.81882481,5.943960827,0.698222706,5.803409503,42.59611897,3.649800508,22056,23523,24386,10.2,2775,21453,24228,2953,22461,25414,25160,1637,21905,11.6,6.5,24036,1203,21889,23092,1633,21816,23449,23603,21733,1870,25386,22043,2481,8.2,1959,21937,23896,1170,24216,2104,21922,8.8,24026,1993
1035,AL,Conecuh,6.1,8.4,9.2,10.3,17.2,6.4,1.02,0.22,-10.18,-11.08,5.350553506,1.423299947,7.274644175,18.00210859,18.08118081,7.327358988,1.713231418,3.057459146,33.52662098,4.243542435,3794,4421,4785,15.2,860,4131,4991,978,3930,4908,4878,457,4057,19.9,9.4,4718,273,4173,4446,384,4164,4548,4681,4249,432,4965,4231,728,10.7,504,4191,4695,319,4646,553,4082,11.9,4635,487
