FIPS,State,County,PopChangeRate1617,PopChangeRate1017,TotalPopEst2017,NetMigrationRate1017,NaturalChangeRate1017,Net_International_Migration_Rate_2010_2017,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed1LessThanHSNum,Ed5CollegePlusNum,Ed2HSDiplomaOnlyNum,TotalPop25Plus,ForeignBornAfricaNum,TotalPopACS,Ed3SomeCollegeNum,OwnHomeNum,Ed4AssocDegreeNum,ForeignBornAsiaNum,HH65PlusAloneNum,ForeignBornNum,FemaleHHNum,TotalHH,TotalOccHU,ForeignBornCentralSouthAmPct,ForeignBornMexNum,ForeignBornEuropeNum,ForeignBornCaribPct,NonEnglishHHNum,ForeignBornCaribNum,ForeignBornAfricaPct,ForeignBornCentralSouthAmNum,ForeignBornAsiaPct,TotalPop2010,LandAreaSQMiles2010,Age65AndOlderNum2010,Under18Num2010,Net_International_Migration_2000_2010,NetMigrationNum0010,NaturalChangeNum0010,TotalPopEst2016,TotalPopEst2015,NaturalChange1017,Net_International_Migration_2010_2017,TotalPopEst2014,TotalPopEst2010,TotalPopEst2013,TotalPopEst2012,TotalPopEst2011,NetMigration1017,TotalPopEstBase2010
0,US,United States,0.72,5.3,325719178,2.28,3.02,2.28,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.2452362,1.500943806,3.623025675,4.487962013,13.02059025,27.53131095,20.95624796,8.17682834,30.31502251,2.64,12.86662944,10.36031843,63.61150331,27818380,64767787,58820411,213649147,1924254,318558162,44772845,74881068,17469724,12688938,12195777,42193781,15146112,117716237,117716237,5.549201091,11541444,4781379,1.271820497,5283060,4051488,0.604051074,17677433,3.983240586,308745538,3531905.43,40267984,74181467,,,,323405935,321039839,9338302,7042455,318622525,309338421,316234505,313993272,311644280,7042455,308758105
1000,AL,Alabama,0.29,1.86,4874747,0.64,1.23,0.65,7.48,3.3,3.3,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.2,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.418681953,0.368320511,1.122457326,1.197475394,15.20925931,30.95574059,21.89854811,7.926085911,24.01036608,2.55,14.89875266,10.98451105,68.49174609,496036,783076,1009593,3261408,7586,4841164,714201,1267824,258502,51167,203330,165504,275785,1851061,1851061,1.607423339,54340,17831,0.139387965,22166,6748,0.156697852,77818,1.056915238,4779736,50645.33,657792,1132459,54447,147119,147019.5,4860545,4850858,58715,30999,4840037,4785579,4827660,4813946,4798649,30453,4780135
1001,AL,Autauga,0.41,1.38,55504,0.25,1.13,0.08,24.96,11.87,5.46,-0.010222394,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,1.838362186,0.279750767,0.465040237,0.875,12.41704602,34.33060933,21.52141721,7.138156091,24.59277135,2.62,11.28846154,10.0625,73.16346154,4528,8968,12519,36466,0,55049,7848,15218,2603,327,2093,1012,2348,20800,20800,0.688477538,256,154,0.112626932,182,62,0,379,0.59401624,54571,594.44,6546,14613,-4.5,5224,2403.5,55278,54838,619,46,54864,54750,54695,54927,55199,135,54571
1003,AL,Baldwin,2.47,16.12,212628,15.18,0.94,0.61,29.8,26.17,3.32,1.584454727,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.2695103,0.609493258,1.006465841,0.962088651,9.972417933,28.69249568,22.3500493,9.437926057,29.54711103,2.62,9.946905481,12.33017073,71.73082809,13956,41350,40154,139946,153,199510,31278,53905,13208,1210,9266,6523,7475,75149,75149,1.585384191,2008,1216,0.257631196,723,514,0.076687885,3163,0.60648589,182265,1589.78,30568,41898,2239.5,36984,4686.5,207509,202863,1728,1121,199064,183110,194736,190048,186534,27790,182265
1005,AL,Barbour,-1.96,-7.54,25270,-7.16,-0.39,-0.17,-5.44,-4.8,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.7,12837,12820,107,60,1387,258,2.85939731,0.255504622,1.65702262,0.833150625,26.23592756,34.92685049,17.757111,8.212323925,12.86778702,2.6,18.8007016,14.4047358,63.90046043,4824,2366,6422,18387,0,26614,3265,5829,1510,52,1314,761,1715,9122,9122,2.374690013,441,68,0.033816788,76,9,0,632,0.195385887,27457,884.88,3909,6015,530.5,-1393,664,25774,26264,-106,-47,26749,27332,26947,27175,27351,-1956,27457
1007,AL,Bibb,0.15,-0.89,22668,-1.27,0.38,0.5,10.03,6.43,2.1,0.341485462,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,8.32,9.6,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.351231614,0.190501506,0.389863548,0.468217934,19.3015873,41.81587302,21.0984127,5.784126984,12,2.92,14.6708286,11.39330306,72.63053348,3040,1890,6586,15750,0,22572,3323,5119,911,14,803,305,1034,7048,7048,1.063264221,88,43,0.035442141,33,8,0,240,0.062023746,22915,622.58,2906,5201,68,1280,417.5,22633,22561,87,115,22533,22872,22503,22658,22745,-291,22919
1009,AL,Blount,0.78,1.1,58013,0.21,0.89,0.49,12.34,12.27,3.14,2.07701489,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,8.41,21.07,64.29,34.43,70.2,31.79,50952,724,115,285,4626,684,4.271800915,0.188895051,3.436503535,1.416169552,19.96858533,32.94233887,22.46909201,11.570227,13.04975679,2.77,9.908336971,10.39332654,78.83020515,7882,5151,13003,39472,63,57704,8869,16254,4567,142,2143,2465,2043,20619,20619,3.589005961,1983,109,0.097046998,292,56,0.109177873,2071,0.24608346,57322,644.78,8439,14106,1061.5,6268.5,1606,57562,57590,513,282,57546,57381,57623,57595,57562,119,57324
1011,AL,Bullock,-1.26,-5.25,10309,-6.18,0.93,0.97,-6.83,-9.13,3.2,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10,-4.76,-45.95,141.3,4.88,2392,7637,20,20,777,86,1.516300227,0.217968158,0,1.152980877,33.43788354,34.14700668,18.28719487,3.872903314,10.25501159,2.84,24.01574803,13.16085489,73.11586052,2452,752,2504,7333,58,10552,1341,2600,284,38,468,160,854,3556,3556,0,0,23,0.388551933,41,41,0.549658832,0,0.360121304,10914,622.8,1469,2430,424,-1057.5,371,10441,10419,101,106,10673,10880,10549,10612,10675,-672,10911
1013,AL,Butler,-0.7,-5.34,19825,-4.54,-0.8,0.18,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,1.395463511,0.024654832,0.384615385,1.198697068,18.94042584,39.85231916,17.16968958,7.957559682,16.08000574,2.6,17.8762215,11.64820847,70.26710098,2642,2243,5559,13949,0,20280,2395,5393,1110,169,894,283,1372,7675,7675,0.537475345,78,5,0,92,0,0,109,0.833333333,20947,776.83,3489,5056,44,-1423,-52.5,19965,20141,-168,38,20327,20944,20372,20688,20880,-951,20946
1015,AL,Calhoun,-0.22,-3.16,114728,-2.84,-0.32,0.34,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,-0.36,16.66,32.8,12.41,122.08,82.7,87285,24177,830,480,3893,1975,2.39379374,0.420251461,0.7895895,0.800958488,17.66313675,32.07180178,25.27554951,7.336545429,17.65296653,2.51,16.42297708,11.13132613,69.01777196,13894,13886,25228,78661,120,115883,19882,31107,5771,746,5017,2774,7402,45071,45071,1.070044787,915,487,0.106141539,361,123,0.103552721,1240,0.643752751,118572,605.87,16990,27126,794,1645,1800.5,114980,115505,-378,408,115941,118466,116482,117219,117785,-3360,118586
