,FIPS,State,County,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,Ed1LessThanHSPct,Ed5CollegePlusPct,UnempRate2017,PovertyAllAgesPct,PerCapitaInc,low_edu,high_poverty,Violent Crime,mean water violations,2010 Population,NO2 1-hr,SO2 1-hr,PM2.5 24-hr,cancer_rate,Life Expectancy 2014,RSEI Score,Diversity-Index
0,1001,AL,Autauga,77.25,17.58,0.86,0.4,2.4,12.41704602,24.59277135,3.9,13.5,26168.0,0.0,0.0,73.0,,,,,,488.1,75.67,47842.603930000005,0.388898
1,1003,AL,Baldwin,83.5,9.31,0.74,0.63,4.38,9.972417933,29.54711103,4.0,11.7,28069.0,0.0,0.0,127.0,,182265.0,,,19.0,441.1,78.08,346841.4091,0.297942
2,1005,AL,Barbour,46.75,46.69,0.39,0.22,5.05,26.23592756,12.86778702,5.9,29.9,17249.0,1.0,1.0,32.0,,,,,,430.6,75.42,366.0639441,0.556605
3,1007,AL,Bibb,75.02,21.92,0.1,0.28,1.77,19.3015873,12.0,4.4,20.1,18988.0,1.0,0.0,0.0,,,,,,476.4,73.97,3453.7453299999997,0.3941
4,1009,AL,Blount,88.89,1.26,0.2,0.5,8.07,19.96858533,13.04975679,4.0,14.1,21033.0,1.0,0.0,394.0,,,,,,429.1,76.16,34.03211481,0.221056
5,1011,AL,Bullock,21.92,69.97,0.18,0.18,7.12,33.43788354,10.25501159,4.9,32.6,17909.0,1.0,1.0,,,,,,,452.0,73.86,0.46157950000000003,0.455794
6,1013,AL,Butler,54.06,43.19,0.83,0.28,0.91,18.94042584,16.08000574,5.5,24.8,19011.0,0.0,1.0,51.0,,,,,,418.6,73.39,0.49575878100000004,0.52337
7,1015,AL,Calhoun,73.61,20.39,0.7,0.4,3.28,17.66313675,17.65296653,4.9,17.1,22231.0,0.0,0.0,23.0,,,,,,459.4,74.02,812272.9042,0.420387
8,1017,AL,Chambers,58.14,38.6,0.49,0.17,1.57,19.73673179,12.48427937,4.1,19.9,21532.0,1.0,1.0,1.0,,,,,,525.4,74.06,16.88512057,0.5170680000000001
9,1019,AL,Cherokee,92.07,4.64,0.19,0.47,1.23,18.71723548,13.96169894,4.1,16.8,22544.0,0.0,0.0,72.0,,,,,,437.6,75.08,192.44688480000002,0.154772
10,1021,AL,Chilton,81.1,9.56,0.29,0.31,7.84,19.90247183,14.85454851,4.0,18.3,22045.0,0.0,1.0,151.0,,,,,,431.5,74.53,382.6504149,0.332047
11,1023,AL,Choctaw,55.56,43.22,0.09,0.13,0.53,21.14733277,11.96020322,6.4,22.7,20773.0,0.0,1.0,,,,,,,423.8,75.29,4502.919061,0.50622
12,1025,AL,Clarke,53.97,43.67,0.29,0.37,1.05,18.95781929,12.13723417,8.5,29.0,20543.0,0.0,1.0,54.0,,,,,,465.4,75.46,4100.836003,0.521338
13,1027,AL,Clay,80.29,14.7,0.17,0.39,2.86,25.38640694,11.06288376,4.4,18.9,21115.0,1.0,0.0,2.0,,13932.0,,,17.0,459.4,75.06,342.24816580000004,0.33781100000000003
14,1029,AL,Cleburne,93.21,3.3,0.15,0.33,2.05,25.81516496,11.52807254,4.5,17.2,19791.0,1.0,0.0,7.0,,,,,,489.1,74.3,2.6149442,0.140602
15,1031,AL,Coffee,72.34,16.53,1.26,1.21,6.37,14.86392789,23.66672445,4.4,14.4,25325.0,0.0,0.0,28.0,,,,,,426.4,76.48,42.95822593,0.45273199999999997
16,1033,AL,Colbert,79.62,15.99,0.41,0.48,2.01,16.57652008,18.47090486,5.2,16.7,23318.0,0.0,0.0,,,54428.0,,,16.0,437.2,75.07,11864.80614,0.351218
17,1035,AL,Conecuh,51.13,46.28,0.13,0.33,1.22,20.57220708,8.662579473,6.1,28.1,16004.0,1.0,1.0,,,,,,,475.6,74.05,7.06639128,0.525778
