State_County,mean_viol_cnty,State,STATE_FIPS,CNTY_FIPS,COUNTY,FIPS,FIPS2
AK_Aleutians West Census Area,0.043478261,AK,2,16,Aleutians West Census Area,2016,f02016
AK_Anchorage Municipality,0.130434783,AK,2,20,Anchorage Municipality,2020,f02020
AK_Fairbanks North Star Borough,0.260869565,AK,2,90,Fairbanks North Star Borough,2090,f02090
AK_Nome Census Area,0.52173913,AK,2,180,Nome Census Area,2180,f02180
AK_Southeast Fairbanks Census Area,0.173913043,AK,2,240,Southeast Fairbanks Census Area,2240,f02240
AK_Yukon-Koyukuk Census Area,0.086956522,AK,2,290,Yukon-Koyukuk Census Area,2290,f02290
AR_Benton,0.217391304,AR,5,7,Benton ,5007,f05007
AR_Garland,0.043478261,AR,5,51,Garland ,5051,f05051
AR_Randolph,0.043478261,AR,5,121,Randolph ,5121,f05121
AZ_Apache,0.043478261,AZ,4,1,Apache ,4001,f04001
AZ_Cochise,0.304347826,AZ,4,3,Cochise ,4003,f04003
AZ_Gila,0.434782609,AZ,4,7,Gila ,4007,f04007
AZ_Graham,0.086956522,AZ,4,9,Graham ,4009,f04009
AZ_Greenlee,0.043478261,AZ,4,11,Greenlee ,4011,f04011
AZ_La Paz,0.739130435,AZ,4,12,La Paz ,4012,f04012
AZ_Maricopa,2.695652174,AZ,4,13,Maricopa ,4013,f04013
AZ_Mohave,0.260869565,AZ,4,15,Mohave ,4015,f04015
AZ_Pima,1.217391304,AZ,4,19,Pima ,4019,f04019
AZ_Pinal,5.043478261,AZ,4,21,Pinal ,4021,f04021
AZ_Santa Cruz,0.086956522,AZ,4,23,Santa Cruz ,4023,f04023
AZ_Yavapai,1.260869565,AZ,4,25,Yavapai ,4025,f04025
AZ_Yuma,0.347826087,AZ,4,27,Yuma ,4027,f04027
CA_Butte,0.130434783,CA,6,7,Butte ,6007,f06007
CA_Contra Costa,0.391304348,CA,6,13,Contra Costa ,6013,f06013
CA_Fresno,3.695652174,CA,6,19,Fresno ,6019,f06019
CA_Glenn,0.043478261,CA,6,21,Glenn ,6021,f06021
CA_Inyo,0.043478261,CA,6,27,Inyo ,6027,f06027
CA_Kern,7.173913043,CA,6,29,Kern ,6029,f06029
CA_Lake,0.086956522,CA,6,33,Lake ,6033,f06033
CA_Lassen,0.043478261,CA,6,35,Lassen ,6035,f06035
CA_Los Angeles,0.869565217,CA,6,37,Los Angeles ,6037,f06037
CA_Madera,1.304347826,CA,6,39,Madera ,6039,f06039
CA_Marin,0.043478261,CA,6,41,Marin ,6041,f06041
CA_Mariposa,0.043478261,CA,6,43,Mariposa ,6043,f06043
CA_Merced,1.086956522,CA,6,47,Merced ,6047,f06047
CA_Monterey,5.304347826,CA,6,53,Monterey ,6053,f06053
CA_Napa,0.086956522,CA,6,55,Napa ,6055,f06055
CA_Orange,0.043478261,CA,6,59,Orange ,6059,f06059
CA_Placer,0.130434783,CA,6,61,Placer ,6061,f06061
CA_Plumas,0.130434783,CA,6,63,Plumas ,6063,f06063
CA_Riverside,1.304347826,CA,6,65,Riverside ,6065,f06065
CA_Sacramento,0.086956522,CA,6,67,Sacramento ,6067,f06067
CA_San Benito,1.130434783,CA,6,69,San Benito ,6069,f06069
CA_San Bernardino,0.869565217,CA,6,71,San Bernardino ,6071,f06071
CA_San Diego,1.826086957,CA,6,73,San Diego ,6073,f06073
CA_San Joaquin,2.52173913,CA,6,77,San Joaquin ,6077,f06077
CA_San Luis Obispo,0.217391304,CA,6,79,San Luis Obispo ,6079,f06079
CA_San Mateo,0.086956522,CA,6,81,San Mateo ,6081,f06081
CA_Santa Barbara,0.173913043,CA,6,83,Santa Barbara ,6083,f06083
CA_Santa Clara,1.086956522,CA,6,85,Santa Clara ,6085,f06085
CA_Shasta,0.086956522,CA,6,89,Shasta ,6089,f06089
CA_Siskiyou,0.347826087,CA,6,93,Siskiyou ,6093,f06093
CA_Solano,0.347826087,CA,6,95,Solano ,6095,f06095
CA_Sonoma,0.652173913,CA,6,97,Sonoma ,6097,f06097
CA_Stanislaus,2.47826087,CA,6,99,Stanislaus ,6099,f06099
CA_Sutter,1.913043478,CA,6,101,Sutter ,6101,f06101
CA_Tehama,0.130434783,CA,6,103,Tehama ,6103,f06103
CA_Tulare,24.43478261,CA,6,107,Tulare ,6107,f06107
CA_Ventura,0.260869565,CA,6,111,Ventura ,6111,f06111
CA_Yolo,1.130434783,CA,6,113,Yolo ,6113,f06113
CO_Adams,0.304347826,CO,8,1,Adams ,8001,f08001
CO_Arapahoe,0.043478261,CO,8,5,Arapahoe ,8005,f08005
CO_Archuleta,0.043478261,CO,8,7,Archuleta ,8007,f08007
CO_Boulder,0.130434783,CO,8,13,Boulder ,8013,f08013
CO_Chaffee,0.217391304,CO,8,15,Chaffee ,8015,f08015
CO_Cheyenne,0.043478261,CO,8,17,Cheyenne ,8017,f08017
CO_Clear Creek,0.043478261,CO,8,19,Clear Creek ,8019,f08019
CO_El Paso,0.217391304,CO,8,41,El Paso ,8041,f08041
CO_Fremont,0.043478261,CO,8,43,Fremont ,8043,f08043
CO_Garfield,0.304347826,CO,8,45,Garfield ,8045,f08045
CO_Gilpin,0.260869565,CO,8,47,Gilpin ,8047,f08047
CO_Grand,0.217391304,CO,8,49,Grand ,8049,f08049
CO_Jefferson,0.217391304,CO,8,59,Jefferson ,8059,f08059
CO_Kiowa,0.173913043,CO,8,61,Kiowa ,8061,f08061
CO_Kit Carson,0.260869565,CO,8,63,Kit Carson ,8063,f08063
CO_Lake,0.130434783,CO,8,65,Lake ,8065,f08065
CO_Larimer,0.043478261,CO,8,69,Larimer ,8069,f08069
CO_Lincoln,0.043478261,CO,8,73,Lincoln ,8073,f08073
CO_Logan,0.434782609,CO,8,75,Logan ,8075,f08075
CO_Morgan,0.347826087,CO,8,87,Morgan ,8087,f08087
CO_Otero,0.043478261,CO,8,89,Otero ,8089,f08089
CO_Park,0.391304348,CO,8,93,Park ,8093,f08093
CO_Pueblo,0.130434783,CO,8,101,Pueblo ,8101,f08101
CO_Rio Blanco,0.086956522,CO,8,103,Rio Blanco ,8103,f08103
CO_Rio Grande,0.043478261,CO,8,105,Rio Grande ,8105,f08105
CO_Routt,0.043478261,CO,8,107,Routt ,8107,f08107
CO_Sedgwick,0.130434783,CO,8,115,Sedgwick ,8115,f08115
CO_Teller,0.173913043,CO,8,119,Teller ,8119,f08119
CO_Washington,0.173913043,CO,8,121,Washington ,8121,f08121
CO_Weld,0.956521739,CO,8,123,Weld ,8123,f08123
CO_Yuma,0.347826087,CO,8,125,Yuma ,8125,f08125
CT_Fairfield,0.739130435,CT,9,1,Fairfield ,9001,f09001
CT_Hartford,0.260869565,CT,9,3,Hartford ,9003,f09003
CT_Litchfield,0.47826087,CT,9,5,Litchfield ,9005,f09005
CT_Middlesex,0.130434783,CT,9,7,Middlesex ,9007,f09007
CT_New Haven,0.608695652,CT,9,9,New Haven ,9009,f09009
CT_New London,1,CT,9,11,New London ,9011,f09011
CT_Tolland,0.173913043,CT,9,13,Tolland ,9013,f09013
CT_Windham,0.304347826,CT,9,15,Windham ,9015,f09015
DE_Kent,1.565217391,DE,10,1,Kent ,10001,f10001
DE_New Castle,0.260869565,DE,10,3,New Castle ,10003,f10003
DE_Sussex,10.52173913,DE,10,5,Sussex ,10005,f10005
FL_Bradford,0.043478261,FL,12,7,Bradford ,12007,f12007
FL_Brevard,0.130434783,FL,12,9,Brevard ,12009,f12009
FL_Citrus,0.086956522,FL,12,17,Citrus ,12017,f12017
FL_Columbia,0.043478261,FL,12,23,Columbia ,12023,f12023
FL_Hardee,0.086956522,FL,12,49,Hardee ,12049,f12049
FL_Highlands,0.130434783,FL,12,55,Highlands ,12055,f12055
FL_Hillsborough,1.869565217,FL,12,57,Hillsborough ,12057,f12057
FL_Lafayette,0.086956522,FL,12,67,Lafayette ,12067,f12067
FL_Lake,0.391304348,FL,12,69,Lake ,12069,f12069
FL_Lee,0.043478261,FL,12,71,Lee ,12071,f12071
FL_Marion,0.173913043,FL,12,83,Marion ,12083,f12083
FL_Miami-Dade,0.347826087,FL,12,86,Miami-Dade ,12086,f12086
FL_Orange,0.130434783,FL,12,95,Orange ,12095,f12095
FL_Pasco,0.52173913,FL,12,101,Pasco ,12101,f12101
FL_Polk,0.347826087,FL,12,105,Polk ,12105,f12105
FL_Suwannee,0.043478261,FL,12,121,Suwannee ,12121,f12121
FL_Volusia,0.173913043,FL,12,127,Volusia ,12127,f12127
GA_Hall,0.043478261,GA,13,139,Hall ,13139,f13139
GA_Jackson,0.043478261,GA,13,157,Jackson ,13157,f13157
GA_Jefferson,0.043478261,GA,13,163,Jefferson ,13163,f13163
GA_Macon,0.130434783,GA,13,193,Macon ,13193,f13193
GA_Mitchell,0.086956522,GA,13,205,Mitchell ,13205,f13205
GA_Randolph,0.043478261,GA,13,243,Randolph ,13243,f13243
GA_White,0.043478261,GA,13,311,White ,13311,f13311
IA_Allamakee,0.217391304,IA,19,5,Allamakee ,19005,f19005
IA_Benton,0.043478261,IA,19,11,Benton ,19011,f19011
IA_Black Hawk,1.434782609,IA,19,13,Black Hawk ,19013,f19013
IA_Bremer,0.956521739,IA,19,17,Bremer ,19017,f19017
IA_Buchanan,0.260869565,IA,19,19,Buchanan ,19019,f19019
IA_Buena Vista,0.130434783,IA,19,21,Buena Vista ,19021,f19021
IA_Butler,0.260869565,IA,19,23,Butler ,19023,f19023
IA_Carroll,0.086956522,IA,19,27,Carroll ,19027,f19027
IA_Cass,0.304347826,IA,19,29,Cass ,19029,f19029
IA_Cerro Gordo,0.086956522,IA,19,33,Cerro Gordo ,19033,f19033
IA_Chickasaw,0.52173913,IA,19,37,Chickasaw ,19037,f19037
IA_Clay,0.217391304,IA,19,41,Clay ,19041,f19041
IA_Clayton,1.086956522,IA,19,43,Clayton ,19043,f19043
IA_Clinton,0.739130435,IA,19,45,Clinton ,19045,f19045
IA_Crawford,0.434782609,IA,19,47,Crawford ,19047,f19047
IA_Delaware,1,IA,19,55,Delaware ,19055,f19055
IA_Dubuque,0.739130435,IA,19,61,Dubuque ,19061,f19061
IA_Fayette,0.695652174,IA,19,65,Fayette ,19065,f19065
IA_Floyd,0.173913043,IA,19,67,Floyd ,19067,f19067
IA_Franklin,0.130434783,IA,19,69,Franklin ,19069,f19069
IA_Guthrie,0.304347826,IA,19,77,Guthrie ,19077,f19077
IA_Hardin,0.086956522,IA,19,83,Hardin ,19083,f19083
IA_Harrison,0.130434783,IA,19,85,Harrison ,19085,f19085
IA_Howard,0.869565217,IA,19,89,Howard ,19089,f19089
IA_Humboldt,0.086956522,IA,19,91,Humboldt ,19091,f19091
IA_Ida,0.391304348,IA,19,93,Ida ,19093,f19093
IA_Jackson,0.130434783,IA,19,97,Jackson ,19097,f19097
IA_Jasper,0.043478261,IA,19,99,Jasper ,19099,f19099
IA_Johnson,0.391304348,IA,19,103,Johnson ,19103,f19103
IA_Jones,0.565217391,IA,19,105,Jones ,19105,f19105
IA_Lee,0.304347826,IA,19,111,Lee ,19111,f19111
IA_Linn,0.869565217,IA,19,113,Linn ,19113,f19113
IA_Louisa,0.173913043,IA,19,115,Louisa ,19115,f19115
IA_Lyon,0.695652174,IA,19,119,Lyon ,19119,f19119
IA_Madison,0.217391304,IA,19,121,Madison ,19121,f19121
IA_Mahaska,0.086956522,IA,19,123,Mahaska ,19123,f19123
IA_Marshall,0.043478261,IA,19,127,Marshall ,19127,f19127
IA_Mills,0.52173913,IA,19,129,Mills ,19129,f19129
IA_Mitchell,0.47826087,IA,19,131,Mitchell ,19131,f19131
IA_Monona,0.47826087,IA,19,133,Monona ,19133,f19133
IA_Muscatine,0.47826087,IA,19,139,Muscatine ,19139,f19139
IA_O'Brien,0.086956522,IA,19,141,O'Brien ,19141,f19141
IA_Page,0.434782609,IA,19,145,Page ,19145,f19145
IA_Palo Alto,0.086956522,IA,19,147,Palo Alto ,19147,f19147
IA_Pocahontas,0.130434783,IA,19,151,Pocahontas ,19151,f19151
IA_Pottawattamie,0.391304348,IA,19,155,Pottawattamie ,19155,f19155
IA_Sac,0.347826087,IA,19,161,Sac ,19161,f19161
IA_Scott,0.391304348,IA,19,163,Scott ,19163,f19163
IA_Sioux,0.173913043,IA,19,167,Sioux ,19167,f19167
IA_Van Buren,0.086956522,IA,19,177,Van Buren ,19177,f19177
IA_Warren,0.043478261,IA,19,181,Warren ,19181,f19181
IA_Winneshiek,0.608695652,IA,19,191,Winneshiek ,19191,f19191
IA_Woodbury,0.52173913,IA,19,193,Woodbury ,19193,f19193
IA_Wright,0.086956522,IA,19,197,Wright ,19197,f19197
ID_Ada,0.347826087,ID,16,1,Ada ,16001,f16001
ID_Bannock,0.260869565,ID,16,5,Bannock ,16005,f16005
ID_Bingham,0.434782609,ID,16,11,Bingham ,16011,f16011
ID_Boise,0.130434783,ID,16,15,Boise ,16015,f16015
ID_Canyon,1.52173913,ID,16,27,Canyon ,16027,f16027
ID_Caribou,0.043478261,ID,16,29,Caribou ,16029,f16029
ID_Cassia,0.391304348,ID,16,31,Cassia ,16031,f16031
ID_Elmore,0.217391304,ID,16,39,Elmore ,16039,f16039
ID_Franklin,0.086956522,ID,16,41,Franklin ,16041,f16041
ID_Fremont,0.217391304,ID,16,43,Fremont ,16043,f16043
ID_Kootenai,0.086956522,ID,16,55,Kootenai ,16055,f16055
ID_Latah,0.086956522,ID,16,57,Latah ,16057,f16057
ID_Lincoln,0.043478261,ID,16,63,Lincoln ,16063,f16063
ID_Madison,0.130434783,ID,16,65,Madison ,16065,f16065
ID_Nez Perce,0.347826087,ID,16,69,Nez Perce ,16069,f16069
ID_Owyhee,0.260869565,ID,16,73,Owyhee ,16073,f16073
ID_Payette,0.217391304,ID,16,75,Payette ,16075,f16075
ID_Twin Falls,0.173913043,ID,16,83,Twin Falls ,16083,f16083
ID_Washington,0.304347826,ID,16,87,Washington ,16087,f16087
IL_Adams,0.304347826,IL,17,1,Adams ,17001,f17001
IL_Boone,0.130434783,IL,17,7,Boone ,17007,f17007
IL_Bureau,0.043478261,IL,17,11,Bureau ,17011,f17011
IL_Carroll,0.695652174,IL,17,15,Carroll ,17015,f17015
IL_Clinton,0.086956522,IL,17,27,Clinton ,17027,f17027
IL_Coles,0.130434783,IL,17,29,Coles ,17029,f17029
IL_Crawford,0.086956522,IL,17,33,Crawford ,17033,f17033
IL_Edgar,0.043478261,IL,17,45,Edgar ,17045,f17045
IL_Fulton,0.130434783,IL,17,57,Fulton ,17057,f17057
IL_Greene,0.043478261,IL,17,61,Greene ,17061,f17061
IL_Henderson,0.47826087,IL,17,71,Henderson ,17071,f17071
IL_Henry,0.217391304,IL,17,73,Henry ,17073,f17073
IL_Jo Daviess,0.043478261,IL,17,85,Jo Daviess ,17085,f17085
IL_Kane,0.043478261,IL,17,89,Kane ,17089,f17089
